"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2019","104.43","99.55","107.90","97.20","714.20M","2.82%"
"12/01/2018","101.57","113.00","113.42","93.96","944.29M","-8.40%"
"11/01/2018","110.89","107.05","112.24","99.35","720.23M","3.82%"
"10/01/2018","106.81","114.75","116.18","100.11","927.55M","-6.61%"
"09/01/2018","114.37","110.85","115.29","107.23","480.26M","1.82%"
"08/01/2018","112.33","106.03","112.78","104.84","456.63M","5.89%"
"07/01/2018","106.08","98.10","111.15","98.00","569.50M","7.58%"
"06/01/2018","98.61","99.28","102.69","97.26","602.59M","-0.23%"
"05/01/2018","98.84","93.21","99.99","92.45","509.42M","5.69%"
"04/01/2018","93.52","90.47","97.90","87.51","668.26M","2.47%"
"03/01/2018","91.27","93.99","97.24","87.08","750.75M","-2.67%"
"02/01/2018","93.77","94.79","96.07","83.83","725.66M","-1.31%"
"01/01/2018","95.01","86.13","95.45","85.50","574.26M","11.07%"
"12/01/2017","85.54","83.60","87.50","80.70","466.20M","1.63%"
"11/01/2017","84.17","83.68","85.06","82.24","421.93M","1.19%"
"10/01/2017","83.18","74.71","86.20","73.71","449.95M","11.67%"
"09/01/2017","74.49","74.71","75.97","72.92","376.67M","-0.37%"
"08/01/2017","74.77","73.10","74.96","71.28","442.76M","2.85%"
"07/01/2017","72.70","69.33","74.42","68.02","469.85M","5.47%"
"06/01/2017","68.93","70.24","72.89","68.09","629.72M","-1.30%"
"05/01/2017","69.84","68.68","70.74","67.14","517.29M","2.02%"
"04/01/2017","68.46","65.81","69.14","64.85","433.19M","3.95%"
"03/01/2017","65.86","64.13","66.19","63.62","489.17M","2.94%"
"02/01/2017","63.98","64.36","65.24","62.75","440.74M","-1.04%"
"01/01/2017","64.65","62.79","65.91","61.95","494.44M","4.04%"
"12/01/2016","62.14","60.11","64.10","58.80","513.58M","3.12%"
"11/01/2016","60.26","59.97","61.41","57.28","613.06M","0.57%"
"10/01/2016","59.92","57.40","61.37","56.31","614.84M","4.03%"
"09/01/2016","57.60","57.01","58.19","55.61","526.86M","0.24%"
"08/01/2016","57.46","56.60","58.70","56.14","467.08M","1.38%"
"07/01/2016","56.68","51.13","57.29","50.39","647.59M","10.77%"
"06/01/2016","51.17","52.44","52.95","48.03","823.99M","-3.45%"
"05/01/2016","53.00","50.00","53.00","49.46","530.87M","6.28%"
"04/01/2016","49.87","55.05","56.77","49.35","699.03M","-9.70%"
"03/01/2016","55.23","50.97","55.64","50.58","641.13M","8.55%"
"02/01/2016","50.88","54.88","55.09","48.19","814.77M","-7.64%"
"01/01/2016","55.09","54.32","55.39","49.10","927.91M","-0.70%"
"12/01/2015","55.48","54.41","56.85","53.68","793.07M","2.08%"
"11/01/2015","54.35","52.85","54.98","52.53","662.63M","3.25%"
"10/01/2015","52.64","44.75","54.37","43.75","857.33M","18.93%"
"09/01/2015","44.26","42.17","45.00","41.66","673.08M","1.70%"
"08/01/2015","43.52","46.98","48.41","39.72","776.50M","-6.81%"
"07/01/2015","46.70","44.46","47.40","43.32","725.46M","5.78%"
"06/01/2015","44.15","47.06","47.77","43.94","664.85M","-5.78%"
"05/01/2015","46.86","48.58","48.90","46.02","633.07M","-3.66%"
"04/01/2015","48.64","40.60","49.54","40.12","874.54M","19.64%"
"03/01/2015","40.65","43.67","44.19","40.54","824.34M","-7.29%"
"02/01/2015","43.85","40.59","44.30","40.23","656.51M","8.54%"
"01/01/2015","40.40","46.66","47.91","40.35","918.97M","-13.02%"
"12/01/2014","46.45","47.88","49.06","44.90","626.81M","-2.84%"
"11/01/2014","47.81","46.89","50.04","46.73","523.01M","1.83%"
"10/01/2014","46.95","46.27","46.97","42.10","853.30M","1.27%"
"09/01/2014","46.36","45.43","47.57","44.53","860.84M","2.05%"
"08/01/2014","45.43","43.21","45.47","42.21","513.93M","5.26%"
"07/01/2014","43.16","41.86","45.71","41.05","731.66M","3.50%"
"06/01/2014","41.70","40.95","42.29","39.86","555.81M","1.86%"
"05/01/2014","40.94","40.24","40.97","38.51","574.40M","1.34%"
"04/01/2014","40.40","41.15","41.66","38.90","746.15M","-1.44%"
"03/01/2014","40.99","37.92","41.50","37.49","778.55M","7.00%"
"02/01/2014","38.31","37.74","38.46","35.69","718.23M","1.24%"
"01/01/2014","37.84","37.35","37.89","34.63","932.09M","1.15%"
"12/01/2013","37.41","38.09","38.98","35.53","826.64M","-1.89%"
"11/01/2013","38.13","35.67","38.29","35.39","800.46M","7.70%"
"10/01/2013","35.40","33.35","36.29","32.80","965.36M","6.39%"
"09/01/2013","33.28","31.75","33.75","30.95","1.25B","-0.36%"
"08/01/2013","33.40","32.06","35.20","30.84","1.05B","4.90%"
"07/01/2013","31.84","34.75","36.43","31.02","1.11B","-7.83%"
"06/01/2013","34.54","34.92","35.78","32.57","945.22M","-1.02%"
"05/01/2013","34.90","32.93","35.28","32.32","1.07B","5.44%"
"04/01/2013","33.10","28.64","33.11","28.11","1.47B","15.71%"
"03/01/2013","28.60","27.72","28.66","27.52","845.03M","2.90%"
"02/01/2013","27.80","27.67","28.20","27.10","780.65M","1.28%"
"01/01/2013","27.45","27.25","28.23","26.28","1.15B","2.77%"
